fpm_sector,fpm_position,backplane_slot,slow_control_slot,trigger_mask_position,white_rabbit_position,module_id
4,0,j28,28,28,11,100
4,1,j29,29,29,8,111
4,2,j30,30,30,5,114
4,3,j31,31,31,3,107
4,4,j32,22,32,2,6
4,5,j23,23,23,12,115
4,6,j24,24,24,9,123
4,7,j25,25,25,6,124
4,8,j26,26,26,4,112
4,9,j27,27,27,2,7
4,10,j17,17,18,13,119
4,11,j18,18,19,10,108
4,12,j19,19,20,7,110
4,13,j20,20,21,9,121
4,14,j21,21,22,3,8
4,15,j11,11,13,14,103
4,16,j12,12,14,15,125
4,17,j13,13,15,10,126
4,18,j14,14,16,8,106
4,19,j15,15,17,4,9
4,20,j5,5,8,16,4
4,21,j6,6,9,14,5
4,22,j7,7,10,11,1
4,23,j8,8,11,7,3
4,24,j9,9,12,5,2
