N: 7, freq: 1.500000
Step: 1
Current time: 10/14/20 19:35:35.338797778 UTC

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
Step: 2
Current time: 10/14/20 19:35:36.005933670 UTC

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
Step: 3
Current time: 10/14/20 19:35:36.672829093 UTC

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
Step: 4
Current time: 10/14/20 19:35:37.339706651 UTC

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
Step: 5
Current time: 10/14/20 19:35:38.006568896 UTC

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
Step: 6
Current time: 10/14/20 19:35:38.673433121 UTC

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
Step: 7
Current time: 10/14/20 19:35:39.340274638 UTC

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000

 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000
